Priority,Name,Latitude,Longitude
On Hold new site August (GM),*Pelly Ranch*,62 49 00,137 22 00
Unassigned,*Vineland*,43 11 27,79 23 55
Almost Complete,Edmonton International ,53 18 24,113 36 21
Complete ,Oakpoint Marine,50 29 58,-098 02 12
Re-Assigned (SJ),Winterland Airport ,47 08 11,-55 19 39
Assigned (MM),St Camille de Lellis,46 29 39,70 12 25
Complete ,Upper Stewiacke,45 13 59,63 03 19
Assigned (SJ),Moosonee,51 17 26,-080 37 02
Complete ,New Ross,44 43 30,64 27 24
Assigned (MS),Arundel,45 58 19,74 37 34
Assigned (MS),Lac Megantic / Nantes,45 36 00,-070 53 00
Re-Assigned (SJ),Thompson Airport,55 45 07,97 51 58
Cancelled,Grand Falls Windsor,48 55 50,55 40 18
Added July 2018,Wabush,52 55 15,66 52 00
Almost Complete,Mono Centre / Relessey,44 01 56,-080 01 28
Complete ,Faro,62 12 27,133 22 33
Complete ,Watson Lake,60 07 04,128 49 19
Complete ,Teslin,60 10 27 ,132 44 09
Assigned (MD),Pukaskwa,48 36 28,86 17 14
Complete ,Cheticamp,46 38 40,60 56 36
Re-Assigned (SJ),McCreary,50 42 43,99 31 48
Complete ,Pilot Mound,49 11 17,98 54 22
To be assigned,Churchill Falls,53 33 29,-064 05 39
To be assigned,Parrsboro,45 24 48,64 20 46
To be assigned,Point Lepreau,45 04 23,-066 26 57
To be assigned,Vernon Allan Brooks ,50 14 23,119 17 21
To be assigned,Puntzi Mountain,52 06 52,124 08 08
Need RRES form,Cross Lake Jenpeg,54 31 31,98 02 56
Assigned to MS,Gaspe,48 46 36,64 28 41
To be assigned,Montreal / Dorval,45 28 05,73 44 29
Assigned (GM) / on hold ,*Kananaskis*,51 01 39,115 02 05
Assigned (GM) / on hold ,*Simonette*,54 25 30 ,79 25 25
Assigned (GM) / on hold ,*Stavely* ,50 11 00,-113 53 00
